id,title,score,time,like,dislike,reply,content,book
13346710,“钝感力”是接纳、是承受，是对生活最好的适应,4.0,2021-03-27 08:28:48,12,0,0,"                        别人稍一注意你，你就敞开心扉，你觉得这是坦率，其实这是孤独。 拥有敏锐神经的人，通常更容易成为这个世界的推动者，他们反应机敏，有着天生的直觉，对他人的善意与恶意都保持恰当的警惕，在对事物的反馈程度上向来很高。然而上帝又是公平的，在赋予他们创造力的同时，也赐予...

                         (展开)
                    ",钝感力
13343264,在令人烦恼的时代里，隐藏了一种赢得美好生活的能力,5.0,2021-03-25 10:00:26,12,0,0,"这篇书评可能有关键情节透露

                        有人说，成功的秘诀就在于隐忍和爆发，有人则认为在于长久的坚持和执着。我们看待成功的关键都源自外界他人（成功人士）的呈现，却不成想，成功的关键其实来自于我们的内心。 你可曾想过，当你在生活中与家人朋友发生矛盾摩擦时，你的第一反应是躁郁不安，还是愿意冷静下来解决...

                         (展开)
                    ",钝感力
1166558,有点骗钱,2.0,2007-06-12 11:29:51,10,0,4,"                        作为一篇文章来解释所谓的“钝感力”，约1500字，绰绰有余。 勤力的渡边淳一先生把他写成了一本书，尽管有医生博士和作家等诸多头衔集于一身，但仍然不能掩饰这本书在内容上的空洞感。 这个叫做“钝感力”的东西不是没有道理，是实在没有必要写那么长。 凑成一本书，让读者掏钱...

                         (展开)
                    ",钝感力
1169230,伪书一本,1.0,2007-06-17 23:37:54,12,2,8,"                        整本书只讲了一个简单的道理，就是不要计较生活中的细小挫折的生活态度会对你的成功有助力，反反复复地从各个面举例子，其实毫无必要，仅仅是发明了一个新名词来糊弄人，基本可称为一本伪书。

                         (展开)
                    ",钝感力
1473035,奥运期间的读物,,2008-08-17 22:48:50,1,0,3,"                        在奥运会期间，阅读一下渡边淳一的《钝感力》是如此地恰当适宜，他起名的“钝感”态度是适宜运动员的态度，也是适宜我们生存的态度。俗话说的好，适者生存，如何在现代生活中如鱼得水，如何更快捷的取得成功，如何平衡自己的内心，如何与他人和谐相处，这些在今天，显得比以往...

                         (展开)
                    ",钝感力
1216653,顿感力的感悟·一滴水书评,4.0,2007-10-02 11:29:47,7,0,0,"                           一滴水书评       知道渡边淳一是从他的《失乐园》开始的，尽管我一向对日货怀有一种难以名状的仇视（或是狭隘吧），但我也常常不得不对日本人的处世哲学而暗自叹服。读《钝感力》，首先是被他抢眼的封面吸引，三个宋体的大字就像小日本倔犟的武士道精神，然而翻开书，随着...

                         (展开)
                    ",钝感力
13490360,由它去，不管它,4.0,2021-04-19 14:46:33,6,0,0,"这篇书评可能有关键情节透露

                        对现代人来说，社会变化日新月异，往往深处焦虑之中，譬如很多人每天如强迫症般不时地打开邮箱或是盯着微信，生怕漏掉消息，由此给自己造成了巨大的身心压力。日本作家渡边淳一所作《钝感力》，是一本薄薄的小册子，按书中所言，“钝感就是一种才能，一种能让人们的才华开花结...

                         (展开)
                    ",钝感力
2866046,關於頓感和敏感,4.0,2009-12-16 21:56:49,2,0,0,"                        渡邊淳一首先告訴我們的是，頓感是一種生存的能力，是左右你事業，生活狀態的一種力量。渡邊淳一做過外科醫生，自然在生理方面更有發言權，因而，在《鈍感力》一書中渡邊淳一更多的選擇了用生理指標來論證他的“頓感”理論。  但我們終究會有這樣的疑問——頓感，應是一種出自...

                         (展开)
                    ",钝感力
1463281,钝感力 = 岛国思维？,3.0,2008-08-06 09:33:48,1,0,2,"                        简单的一个道理，却被毕业论文般地展开，翻过来覆过去，讲成了一本书。阅读本身，就是对人钝感力的一个严重考验。感觉作者则一直在书背后，诡秘地看着每个读者的反应，笑……  No string attached...可没有人的生活可以这样。每个人，其实都不自觉地，被一条条亲情线，关系的线...

                         (展开)
                    ",钝感力
13337110,拥有钝感力，从容面对生活中的挫折和伤痛,5.0,2021-03-22 17:25:11,5,0,0,"这篇书评可能有关键情节透露

                        文/石墨杨（shimoyang11） 在人际关系方面，最为重要的就是钝感力。所谓的“钝感力”，是一种大智若愚的人生态度和人生智慧。相对于激进、敏感、强硬等而言，拥有顿感的人更容易在竞争激烈的现代社会立足。 拥有钝感力是保持身体健康的动力。它不会造成器官的消耗，会让人保持...

                         (展开)
                    ",钝感力
7428719,难得糊涂,4.0,2015-03-29 20:15:47,5,0,0,"                            小的时候我很迟钝，像一块石头，很懵懂，别人说什么都不走心，做错了事情也不太在意，那时候无拘无束，眼中的世界浑然一体，大概就处于“看山是山，看水是水”的状态。到了青春期，理解力变强了，明白的事情慢慢多起来。开始起分辨心、比较心，感受到人和社会都很复杂，世...

                         (展开)
                    ",钝感力
6674178,生活需要我们慢半拍,3.0,2014-05-19 08:21:23,2,0,1,"                                  现代生活的节奏越来越快，压力感也越来越重。无论是工作、生活还是学习，在与人相处的过程中，时常都会因为对方的反应、回应而对自己产生相应的感觉。如果对方是很配合自己的给予正面的、与自己设想的相同或相似的回应，自己不自觉的会产生同一频率的喜悦感；反之，...

                         (展开)
                    ",钝感力
5615407,钝刀杀人,3.0,2012-10-13 10:36:53,5,0,1,"                        没有人会觉得特别敏感是件好事，当然，也没有人会觉得特别迟钝是件好事。 作者的观点，无非是人不用纠结于面子之类的细节、沮丧之类的心情，保持乐观自信和“坚韧”——不只是对事的坚韧，更是对伤害的钝感。说到底，钝感就是一种沉默的回击力，一种“XX虐我千百遍，我待XX如初...

                         (展开)
                    ",钝感力
2154108,不为琐事动摇的钝感，是生活中最重要的基本才能,3.0,2009-07-20 19:24:31,5,0,0,"这篇书评可能有关键情节透露

                        人们能否成功，不完全取决于才能。也就是说有才能的人并不一定能成功。  在人缺乏自信或犹豫不决的时候，无论怎样的左思右想都于事无补.因此在这个时候,就要摒弃杂念,更为大胆、充满自信地向前迈进才行。  社会上所谓有才能的人，都有一个在适当时期，用适当方法将其才能发掘、...

                         (展开)
                    ",钝感力
13625611,不如直接写化成灰的人吧,1.0,2021-06-22 00:54:08,5,0,2,"                        看不下去了。 1.不如直接写化成灰的人吧。 2.作为男性，怎么总以为自己很理解女性？别写男女了求求你。 3.无法理解不如换个性别来看待这本书。 4.这本书出版后，里面提到的人有把他套麻袋吗？ 5.出轨说的这么脱俗，是不是自己也干过？你们的快乐建立在周围人的痛苦之上当然开心...

                         (展开)
                    ",钝感力
13298283,《钝感力》——独特的人生智慧，带给我们全新的启示,5.0,2021-03-04 23:54:38,4,0,5,"这篇书评可能有关键情节透露

                        你是否有过这样的经历，忽然因为一点小麻烦就难过沮丧，或者因为一句刻薄话就克制不住烦躁愤怒？是的。我们好像都有这样的感觉，随着长大，压力越来越大，也越来越容易焦虑，自负与自卑的交织在一起，让我们越来越失去对情绪、对生活的控制力，而我们都渴望找到方法做出改变。 ...

                         (展开)
                    ",钝感力
6660242,闻说作者已归西，枪手文章贴上来,3.0,2014-05-06 21:22:55,1,0,0,"                        这是为了某友人入职洗脑受命代写的读后感，换了一顿呷哺呷哺。  敏于行而讷于言 ——读渡边淳一《钝感力》有感  2013年秋，一直以来以情爱文学见长的日本作家渡边淳一推出了他凝结着其八十年人生感悟的著作《钝感力》 。据传，这部作品在动撤天下文坛之时也深度影响日本政界。...

                         (展开)
                    ",钝感力
2256572,敏感or钝感,3.0,2009-08-21 22:17:33,1,0,1,"                              敏感或钝感其实就是个人特点，没有什么绝对的东西，该敏感则敏感，要么就一辈子钝感，那倒是一种幸福，可能吗？不可能，那还不如早点知道呢！该钝感则钝感，就是我们中国人所说的傻人有傻福吧！这种能力都是天生的，后天无法培养，看完这本书后能够改变的就是适时地学会...

                         (展开)
                    ",钝感力
2210732,你或许需要的就是这个,,2009-08-10 00:02:21,0,0,0,"                        总的来说我欣赏渡边，所以在这本书刚在中国有发行的时候就买了收藏，原谅我不会日文。 《顿感力》这本书可以帮助你找到你的优点，请别被书中所提到的东西蒙蔽，我认为如果顿感力是一个概念，那么她所囊括的远远不止这些，发现你自己的优点吧，即使别人认为那是缺点，所以你需要...

                         (展开)
                    ",钝感力
2173010,哥读的不是钝感力,4.0,2009-07-28 10:50:21,1,0,1,"                        凡谓人生哲学到了最后往往趋向大同.渡边淳一多年经验集大成者,居然不是用锋利的手术刀把生活剖析开来,犀利地去批判;却要马马虎虎把那些伤口缝合,一笔难得糊涂,于是带过.      书本身并无多少收藏价值,这位东洋医生显然也不愿意洋洋万言,十万字能说出个大概就已经不错.17段小故...

                         (展开)
                    ",钝感力
2009917,钝感，敏感——不存在更佳的选择,3.0,2009-05-03 22:50:38,1,0,1,"                        书写得还是不错的，作者的思辨能力和论证能力都不错。钝感的人看着应很高兴。 但始终觉得这本书其实没什么内容，作者站在极度片面的角度讲迟钝对人的益处，算是为大家提供一个视野和角度，但确实也很片面，而且实际内容也只是在论证。在抱着很大期望去看这本书的时候，会发现，...

                         (展开)
                    ",钝感力
1244168,敏感还是必要的,3.0,2007-11-21 11:50:22,0,0,2,"这篇书评可能有关键情节透露

                        很早以前粗略的翻过这本书，对这一概念有些好奇，所以上个礼拜在joyo上顺手定了一本。 书不厚，所以2个晚上就翻完了。 看后最大的感觉有三： 1、作者是个大男子主义者 有个例子，说是妻子知道丈夫有外遇之后而大吵大闹，假若有了顿感力，难得糊涂，也就不会闹到离婚的境遇。无...

                         (展开)
                    ",钝感力
1242398,给我一副软猬甲,3.0,2007-11-18 19:23:32,4,0,3,"                        读到《钝感力》的那天，我正在一个无聊至极的会议上昏昏欲睡。 对于会议的枯燥无聊早有预料，所以我提前带上了这本小书。 “对不起，因为我太能干了，才让你烦躁不安。我十分理解你嫉妒的心情，我知道你活的很辛苦，适可而止吧。” 看到这么有趣又欠抽的话，虽然是在一个貌似严...

                         (展开)
                    ",钝感力
13627708,总结,,2021-06-22 23:05:13,3,0,0,"                        先说观点：作者举例对于本国读者来说，不太恰当，有点类似于，一个知识点（英语的拟声词，很多时候只有英语使用者觉得很贴切、很像）；其次，作者确实有一些大男子主义，甚至是被动的曲解了女性（但在大环境下又很现实，比如任性的自私，当然不应该自私，也不应该宣传自私的行...

                         (展开)
                    ",钝感力
12139649,好看，却并不好用,3.0,2020-01-02 16:16:29,3,0,0,"                        最初是在视频中听樊登提到过《钝感力》这本书，因为在生活中一直比较敏感，因此从那以后便一直想抽时间读一读这本书。但读过之后真的有些大失所望。 本书最大的亮点就在于提出了“钝感力”这一概念，但基本也就止步于此了。首先要对这本书分类的话，那它便是一本仅仅提出问题却...

                         (展开)
                    ",钝感力
10150553,宠辱不惊：钝感力vs敏感力,5.0,2019-05-01 20:35:50,2,1,0,"                        宠辱不惊，就是别人夸您，不要当回事，因为对方可能借您敲打别人；别人辱骂您，如果自己没有问题，也不要当回事，因为会伤害自己的身体健康。 渡边淳一的《钝感力》这本书介绍了钝感力对人类的身体健康、精神、人类进化都有重要意义。而《高度敏感的力量》则介绍了敏感对人的意...

                         (展开)
                    ",钝感力
9560547,赢得美好生活的手段和智慧是什么？,4.0,2018-08-03 11:20:06,3,0,0,"                        你有没有过这样的时刻？因为他人的一句无心的话语，愁思百结，辗转难眠。 可是，大多数情况下，别人只是随口一说，或开了一个不经意的玩笑。 所谓“言者无心，听者有意”。这一切只源于我们的大脑过于敏感，内心戏又太丰富，最后自导自演了一部“戏剧”，并因此消耗了过多大量...

                         (展开)
                    ",钝感力
6379077,钝感力，不是要你迟钝，是要你内心强大。,5.0,2013-11-05 17:09:34,3,0,0,"                        本来想好好写个书评，可看完以后发现我想说的渡边淳一已经说得太好了。不如放点打动我的原文吧。让作品自己说话吧。         经历了分娩之痛生下的孩子，不管做什么事情，母亲都觉得可爱，能够原谅。 这种宽容的情感，正是产生钝感力的原点。        母与子，是最强的钝感力结...

                         (展开)
                    ",钝感力
6179991,再次证实烂书不值得读啊！！,1.0,2013-07-24 15:50:56,0,0,1,"                        正好有一个小时的空闲，就拿起手边这本钝感力，读到当中就觉得很烂，但因为格式塔情结还是翻完了。 翻完后，深感读一本烂书的代价就是剥夺了你读一本好书的时间。 反反复复说钝感力怎么怎么好，其实背后就是要活得长一点，成功一点，很庸俗，很功利。

                         (展开)
                    ",钝感力
6177138,不过生活常识,3.0,2013-07-23 00:12:54,0,0,0,"                        “钝感力”，作为一种为人处世的态度及人生智慧，相比激进、张扬、刚硬而言，更易在目前竞争激烈、节奏飞快、错综复杂的现代社会中生存，也更易取得成功，并同时求得自身内心的平衡及与他人和社会的和谐相处。作者据此分章论述了在男女爱情、婚姻、事业、人生、家庭等诸多方面...

                         (展开)
                    ",钝感力
5926207,不就是：“随意，爱咋地咋地”么？,3.0,2013-05-05 12:27:20,0,0,1,"这篇书评可能有关键情节透露

                        钝感力的同义词大概是：  “无所谓，随意，心态好，没心没肺、韧性，顽强、淡定，宽以待人，悦纳自己、耐得住打击，不要玻璃心，心胸宽广，有原谅的能力、斥责也不气馁，很快复原，心路保持通畅；平和、松弛，开朗，让血液循环，畅通无阻、睡得香，睡得快，起床快，因为表扬而...

                         (展开)
                    ",钝感力
2444288,钝感的力量.,4.0,2009-10-04 10:29:40,1,0,2,"                        你算一个敏感的孩子么?       上小学的时候你父母离婚.你只是奇怪于为什么无法和以前一样一家人夜晚出去愉悦地散步,路灯像彩虹一样温柔地融化,如今家里只是昏暗阴沉的夜色.你以为你没有看见母亲脸上哀怨的颜色和父亲脸上无可奈何的表情.       其实你看见了,所以在把自己的自尊...

                         (展开)
                    ",钝感力
2342568,难得糊涂的皮实和耐操,3.0,2009-09-16 14:50:29,3,0,0,"                              日本人的书和他们的行文手法一样，有一种曲折的意味。    你说这为什么叫“钝感力”？我数次都读成“钝力感”...       作者翻来覆去其实中心意思就两点：1 迟钝的人最幸福 2 女人最有包容力     第一条，用中国的文化来阐释就是“难得糊涂”；用机器来阐释就是“皮实”...

                         (展开)
                    ",钝感力
1610978,不如他早期作品,,2009-01-07 10:32:54,2,0,0,"                        实话地说不如他的早期作品 ，不知道他出这部书的意义，，是为转型还是为了生活而写，，类似这种心理学科的书不适合他写，，看这部书还不如看戴尔·卡耐基的所有作品

                         (展开)
                    ",钝感力
1474983,让我们慢下来,5.0,2008-08-20 11:47:37,4,1,1,"                        这书不厚，买到手当天就读完了全本。读本书像极了跟作者面对面聊天，听他讲生活中遇到的一些人和一些事，也包括作者自己的亲身感悟。  钝感力这个词挺好，不知道是渡边淳一先生首创还是翻译的神来之笔，我只看到这三个字就似乎明白了本书大半的意图。  好几年前听说国外有人号...

                         (展开)
                    ",钝感力
1335741,他不是教你钝,4.0,2008-03-25 23:12:26,3,0,1,"                        他大概不是教你变成一个遇事后知后觉的人，而是希望你可以保护好自己吧。他大概也不是教你装傻，而是希望你难得糊涂，大智若愚吧。 一句话说回来，与其费劲地去拔生活的刺，倒还不如让自己皮糙肉厚好养活一点，你们说呢。

                         (展开)
                    ",钝感力
1198739,若是个专栏小文章还说得过去,2.0,2007-08-24 13:30:54,5,2,7,"                        曾经有个朋友传达了她哥哥的一条原则，去餐厅不要点什么""厨师推荐"",往往都是卖得不怎么好的部分......  念书的时候看过他的几本,类似""曼特莱斯情人""""泪壶"". 一直对这样的人怀有好感:研究一个领域，从事的工作却与其完全无关.总觉得这样的人看问题会有很妙的视角 于是饭后散步路...

                         (展开)
                    ",钝感力
1185690,日本人对它的运用,5.0,2007-07-28 21:11:55,0,0,0,"                        渡边淳一这个作家像鲁迅一样，弃医从文，但是和鲁迅的写作风格简直是相差太大了。悠悠话语，娓娓道来，其中的哲理小文更吸引人的关注，小说也写的流畅生动，把日本现代都市人的生活写活了，其中的爱恋小说有典型日本古典物哀的特征。这本书就像目前在畅销书排行榜上的另一本日...

                         (展开)
                    ",钝感力
1178915,如果你写作时苦于无话可说，这本书是你最好的教材,1.0,2007-07-12 11:57:09,3,0,0,"                        你可以学习怎样在写作时没话找话、生拉硬套、胡诌八扯、错误连篇。如何把一点点思想稀释到变溲。 这样烂的一本书能在日本流行，可以想像彼国国民思想的浅薄。难怪会受军国主义的毒害

                         (展开)
                    ",钝感力
1175404,简单不代表不好,4.0,2007-07-03 10:37:31,0,0,0,"                        看看上面恶评如潮的样子，其实，还ok的。  道理确实非常简单，举了很多例子说明钝感的人比敏感的人更适合在这个时代生存。看起来有些重复，整整一本小书只为了说明一个简单的观点。  但是，今天想起来的，都是那些小例子。如为了一根牙膏管吵架的夫妻，如由于个性忧郁导致恶循...

                         (展开)
                    ",钝感力
14155149,钝感力-共读,,2022-01-21 06:57:45,2,0,0,"                        世界上本无“钝感力”这个词，因为渡边淳一，世界上多了一个叫“钝感力”的词。所谓的“钝感力”，是一种大智若愚的人生态度和人生智慧。相对于激进、敏感、强硬等而言，拥有钝感的人更容易在竞争激烈的现代社会立足。按照渡边淳一自己的解释，“钝感力”可直译为“迟钝的力量...

                         (展开)
                    ",钝感力
13726403,惟愿我儿愚且鲁 无灾无难到公卿,3.0,2021-08-03 17:23:12,2,0,0,"                        渡边君的小说读了有几本，印象中都属于情感类。突出主题是纠结，比如婚外情，三角恋。主人公要么是医院工作者，要么是书籍相关工作者。这也符合作者本人的生活环境。 渡边的小说给我留下的印象不深，读了这本书，多少有了线索。他本人的思想偏感性，留给读者可思考的空间并不多...

                         (展开)
                    ",钝感力
13643177,适度钝感是好的，但敏感也不完全是错,2.0,2021-06-29 20:42:05,2,0,0,"这篇书评可能有关键情节透露

                        有些说法是没毛病的，但是有些例子也太侮辱女性了吧。  什么叫如果女性朋友的嗅觉不要那么敏感，就不会通过香水味察觉到丈夫出轨，从而不会争吵，家庭就能和睦幸福…换个意思来讲，不就是女人要为了家庭对丈夫的不忠睁一只眼闭一只眼吗，这都什么歪理发言！ 开头的时候先是举了...

                         (展开)
                    ",钝感力
13363801,敏感力过剩的时代，人人需要钝感力,5.0,2021-04-03 17:06:52,2,0,2,"这篇书评可能有关键情节透露

                        现代社会的一大特征就是无所不在的信息压力，媒介成为了新的控制工具，不在场、自动的控制驱使人们正在成为铭感而有多疑的个体。敏感往往又和自恋等因素结合在一起，对现代人的身心造成了困扰，因此怎样在纷繁复杂的现代社会中，清醒而又愉快的生活，成为了一大课题。 日本已故...

                         (展开)
                    ",钝感力
13361928,钝感力是碗毒鸡汤，可我们还是要干了她,4.0,2021-04-02 23:37:00,2,0,0,"这篇书评可能有关键情节透露

                        《钝感力》在我印象里是本挺有年代感的老书，记忆里还是在本地的“席殊书屋”里瞥见过，时间呢？大约就是十五年前的样子。 那个时候我还是个很年轻的学生仔，觉得自己有巨大的潜力，未来有无数的可能，自己很容易被一些咋咋呼呼故弄玄虚的东西吸引着，觉得看着点牛逼的秘籍就能...

                         (展开)
                    ",钝感力
13347548,难得糊涂,5.0,2021-03-27 17:39:43,2,0,1,"这篇书评可能有关键情节透露

                        这是身为“扬州八怪”清代画家郑夑于七十三岁时所创《兰石图》。众人皆知他善画竹，兰，石，自称“四时不谢之兰，百节长青之竹，万古不败之石，千秋不变之人”。其诗书画，世称“三绝”。图中痩石嶙峋，筋竹三两枝，与石比肩。无一不显露其文人风骨。当然更为人熟知的是其“难...

                         (展开)
                    ",钝感力
13343004,别让过度敏感，毁掉你原本温馨的生活！,5.0,2021-03-25 10:59:49,2,0,0,"                        记得曾经在知乎上看到一个提问：生性敏感，容易多想，活得很心累，究竟应该如何避免胡思乱想？网友的回答五花八门，精彩纷呈。 “多运动，体验汗流浃背的感觉” “多读书，让自己静心” “多沟通，让自己把话说直白” “多暗示，告诉自己别多想” …… 其实，这一切的问题似乎...

                         (展开)
                    ",钝感力
13327435,钝感力的养成--绕开敏感,4.0,2021-03-18 16:07:06,2,0,0,"                        初一看书名，让我想起了盾牌--厚实、沉重，足以挡风遮雨。读完，我对钝感力的定义变成了：这是一种在生活中可以灵活转身的能力。 相对于“钝感”，敏感的背后大多存着求而不得的无奈和不甘吧，那么在仍然可能会“求而不得”的情况下，我们要怎么样让自己可以过得舒服一点呢？那...

                         (展开)
                    ",钝感力
13323361,先失去钝感变得敏锐，而后磨砺成宽和钝感的样子,5.0,2021-03-16 16:25:22,2,0,0,"                        前几天看《吐槽大会》，我翻来覆去把范志毅吐槽中国男篮那段看了十几遍，每一遍都觉得精彩到让人拍案称奇！ 除了又一次把球迷心里的伤痛拿出来反复鞭尸，“我用脚都能传出去”、“篮球只拿一分不容易的”、“姚主席都气矮一截”。还似有似无地带上几句自己的经历，“你就是挨骂...

                         (展开)
                    ",钝感力
13319126,钝感力,,2021-03-14 19:22:27,2,0,0,"                        渡边纯一——《钝感力》 对眼前的事情顿感一点，不要什么事情都往心里去。顿感就是一种才能，一种能让人们的才华开花结果发扬光大的力量。 一 面对职场“钝感” 相对于“顿感”这词，对于职场而言更多的事敏锐。比如：今天几个同事一起工作，其中某个人今天发了一条比较情绪化...

                         (展开)
                    ",钝感力
13180419,钝感力,,2021-01-31 23:03:34,2,0,0,"                        对于我这样一个内心敏感的人，钝感力是一门需要修行一生的功课。 首先，适当的钝感力对健康有利，可以加速血液循环，还可以提高睡眠质量（我常常因为过去人做的事说过的话反反复复想到深夜失去宝贵的睡眠），更是对胃有好处！过去的几年常因为工作压力导致胃痉挛，辞职一年后胃...

                         (展开)
                    ",钝感力
12947188,第四章,1.0,2020-11-01 21:00:30,2,0,0,"                        当我准备把这本书扔进垃圾桶的时候毅然在封面写下烂书二字，怕被没读过的人捡去了害人。 非常烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂价值观扭曲大男子主义有个作家名头就飘了什么都敢写无脑之谈烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂烂...

                         (展开)
                    ",钝感力
10118797,钝感力，尖锐世界的正能量,4.0,2019-04-17 12:07:47,2,0,0,"这篇书评可能有关键情节透露

                        《钝感力》：正面意义上的迟钝让我们不拘小节，自律而有韧性，心性上通畅豁达。在尖锐世界里，钝感力距离幸福更近。读完这本书，愿你运用钝感力，更体面而幸福的生活。 钝感力，尖锐世界的正能量 敏感必定多疑，敏感给生活带来了诸多限制，而钝感把人封印在自己的小宇宙里，让...

                         (展开)
                    ",钝感力
10086066,玻璃心，怎么治？,4.0,2019-04-03 06:32:57,2,0,0,"这篇书评可能有关键情节透露

                        欢迎来到“卡卡读书”，我们一起终身学习。今天我们要讨论的话题是：玻璃心，怎么治？ 最近被一张图片频繁刷屏。里面相关的台词火到不行！“不要大声责骂年轻人，他们会立刻辞职的；但是你可以往死里骂那些中年人，尤其是有车有房有娃的那些”。 中年人之所以熬得住，是他们的...

                         (展开)
                    ",钝感力
8798031,才能+正面意义上的钝感力=成功,4.0,2017-09-05 18:25:04,2,0,0,"这篇书评可能有关键情节透露

                        在不同领域取得成功的人，无疑都拥有才能，但同时，内心必定具备正面意义上的钝感力，积极的“钝感”可以令人忘却不好的事、抑郁的事，凡事乐观地向前看。能提高和磨炼才能。 幕内是相扑中列在名单头排的力士等级，包括横纲、大关、关助、小结和前头。 不能太想不开，别人说了...

                         (展开)
                    ",钝感力
8116552,敏感脆弱，只会大受打击,4.0,2016-10-05 21:32:30,2,0,0,"这篇书评可能有关键情节透露

                          一般说来，“迟钝”这个词常给人负面的印象。  说一个人“真迟钝啊”，跟说一个人“真敏锐啊”，可谓是天差地别。那个被说“迟钝”的人听见这种评价，恐怕会怒火中烧。“钝感”这个词显然很多时候也已被理解为贬义。  但将“迟钝”的意思略微扩展一下，对它的印象就大为不同...

                         (展开)
                    ",钝感力
7763507,莫怨东风当自嗟,3.0,2016-02-07 16:21:51,2,0,0,"                        利用一趟飞机的时间很快就看完了，简单易懂的“水文”。只讲了两点：什么是“钝感力”，以及“钝感力”如何对事业和健康都有利。至于说怎么培养钝感力，作者却巧妙的规避了这个难点。  凭个人经历试补充一下：），培养“钝感力”核心四要素： 1、首先需要有一定的天赋才能，即...

                         (展开)
                    ",钝感力
